food ID,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium
715,milk cereal bar,103,2.7,18,11.5,1.6,0.1,1.5,0.087
716,almond rice bar,128,5.7,18.1,0,2,1,0,0
717,fruit nut squares,55,1.3,10.3,6.4,0.3,0.3,0,0.086
718,rice wheat cereal bar,90,2,16,7,2,0.4,0,0.1
719,crisped rice bar,113,3.8,20.4,0,1.4,0.6,0,0.01
720,brown rice raw,685,5.4,142.9,1.6,14.7,6.5,0,0.086
721,rice pilaf cooked,352,8.8,61.1,0.6,7,1.4,0,1
722,beef flavored rice raw,657,2.3,139.1,0,19.8,2.9,0,2.4
723,wild rice cooked,166,0.6,35,1.2,6.5,3,0,0.008
724,wild rice raw,571,1.7,119.8,4,23.6,9.9,0,0.051
725,congee with pork shrimp and squid plus egg,178,0.3,0,0,0,0,0,0
726,white rice pasta cooked,246,5.7,43.3,0,5.1,5.1,2,1.1
727,chicken flavored rice raw,601,2.2,127.3,4,17.9,2,0,2.1
728,instant white rice raw,361,0.9,78.2,0.026,7.4,1.8,0,0.039
729,rice crisps,107,0.4,24.1,2.3,1.8,0.2,0,0.2
730,parboiled white rice raw,692,1.9,149.6,0.6,13.9,3.3,0,0.055
731,instant white rice cooked,193,0.8,41.4,0,3.6,1,0,0.001
732,rice pilaf raw,732,2.8,155.7,3.1,21.3,2.4,0,2.7
733,rice cracker cake,111,1.2,23,0.2,2,1.2,0,0.097
734,parboiled white rice cooked,194,0.6,41.2,0.2,4.6,1.4,0,0.088
735,white rice steamed,199,0.4,44.7,0,4.2,1.2,0,0.009
736,brown rice cake,35,0.3,7.3,0.047,0.7,0.4,0,0.024
737,glutinous white rice raw,685,1,151.1,0,12.6,5.2,0,0.015
738,white rice pasta raw,600,4,122.8,0,15.3,0,3.3,3
739,glutinous white rice cooked,169,0.3,36.7,0.078,3.5,1.7,0,0.027
740,brown rice cooked,218,1.6,45.8,0.7,4.5,3.5,0,0.086
741,beef flavored rice cooked,319,7.9,54.4,0,7,1.5,0,0.9
742,white rice cooked,205,0.4,44.5,0.015,4.3,0.6,0,0.077
743,chicken flavored rice cooked,317,8,54.8,1.5,6.2,1.6,0,0.9
744,white rice raw,675,1.2,147.9,0.2,13.2,2.4,0,0.081
745,cheese imitation,441,36.2,1.1,1.1,28.3,0,17,0.8
